cumulative,just auto_increment,"auto_increment, key","auto_increment, unique key","w/o auto-increment, key","w/o auto-increment, unique key","w/o auto-increment, primary key"
510000,21.9349110126,51.1206228733,93.3711359501,50.7203490734,569.036157131,574.440325022
520000,22.0466711521,52.393157959,91.8471620083,50.4533410072,595.187885046,589.850678921
530000,21.446144104,49.5917930603,92.0368921757,49.4752309322,612.930935144,560.540758133
540000,20.7902920246,48.8754389286,95.7054228783,48.5862290859,627.798846006,590.484718084
550000,22.2683601379,58.4906280041,94.7382688522,50.0083928108,652.869876146,610.675013065
560000,22.3463640213,57.7141568661,101.019706011,50.0308010578,603.71500802,611.850708008
570000,22.3004629612,56.1334490776,99.2629890442,51.2286219597,641.439782858,596.222507954
580000,23.6140761375,51.2058331966,102.831946135,50.3191080093,620.536561966,623.687345028
590000,21.4237558842,58.6476509571,106.421926975,52.1508340836,630.734030008,633.45558095
600000,22.0689649582,55.9580280781,105.713809967,48.884002924,639.694553852,601.935983181
610000,23.2141389847,53.5190708637,114.785161972,47.0511488914,638.338083982,645.997823954
620000,22.3242440224,56.3354270458,118.21698904,56.3000710011,660.885890961,642.730995893
630000,23.5022890568,47.2181830406,118.854017973,51.985710144,641.96247983,658.236398935
640000,22.3018651009,56.2991201878,123.134366035,51.8982129097,657.072678089,673.106857061
650000,24.792388916,56.9799799919,118.475695133,46.3404397964,677.197107077,657.405988932
660000,24.6815621853,54.7422409058,122.289849043,49.9726469517,696.174161911,657.481324196
670000,24.3555238247,65.6714661121,123.524117947,54.1972219944,709.784114838,679.653750896
680000,23.0022778511,53.1111989021,122.834550858,51.9957060814,671.259215832,669.591694117
690000,23.7551240921,58.6429078579,129.915683985,60.26927495,681.123718977,701.990964174
700000,24.6024041176,56.7513430119,129.651009798,61.049943924,735.445694923,700.989413977
710000,22.8567259312,49.9758329391,127.266541958,65.7977280617,743.873512983,710.463546038
720000,24.7369987965,57.7702629566,126.27067399,55.234899044,730.242895842,826.060316086
730000,21.1904919147,55.7001628876,127.10167098,54.1226091385,763.897776127,771.792794943
740000,25.2373101711,58.557033062,129.716435909,55.5346498489,765.900044918,745.70795393
750000,23.3577849865,63.647206068,129.838604927,50.3495640755,758.020349979,732.662619114
760000,24.2925798893,70.1650791168,136.398769855,61.4605379105,747.498287201,746.319470882
770000,21.9686839581,65.9721779823,136.532146931,50.1760339737,769.110822916,744.696604013
780000,24.8810741901,65.3635029793,136.977771997,51.6994729042,774.527596951,739.759809971
790000,25.3153600693,59.1042571068,132.896372795,54.4893801212,799.565026045,729.286216974
800000,24.3805570602,53.0752899647,138.600106001,53.8007678986,782.154098988,732.077458143
810000,24.4817378521,60.4708821774,137.989145041,55.8907029629,789.348031044,763.241691113
820000,21.2121100426,53.3445930481,143.681006193,54.8787961006,793.36875701,763.441687107
830000,23.7917420864,52.1657299995,145.61562109,55.4677870274,817.021563053,778.752298832
840000,24.4805021286,53.4316740036,137.799212933,46.781386137,794.99590683,756.826771975
850000,23.9137248993,48.3186240196,141.535516977,49.8844201565,821.468123913,755.824981928
860000,23.545208931,58.4484601021,138.566410065,61.3168270588,777.995501041,753.611654997
870000,23.9049139023,55.4801840782,137.721467018,57.8345189095,786.568787098,781.898435831
880000,23.0019798279,49.5742120743,136.87658596,53.9785938263,819.278486967,794.684669018
890000,24.4145209789,59.4705400467,142.958210945,49.4082911015,834.020301104,766.021505833
900000,24.0148620605,49.2528698444,135.131419897,55.3788309097,821.789655924,767.822792053
910000,23.8134469986,53.8085279465,140.257663965,59.4800419807,820.75430584,785.567814827
920000,21.4236228466,48.6863660812,136.698728085,56.5909900665,850.132346153,779.01879406
930000,24.6697700024,52.7104668617,141.068063021,53.4114341736,830.908761978,790.548798084
940000,24.1814920902,62.0483489037,133.575202942,58.2925448418,833.355489016,797.298421144
950000,21.4680399895,53.966121912,139.010896921,51.4429619312,825.327094078,799.366204023
960000,23.7469069958,49.9656879902,135.831490993,60.4710819721,849.720538139,771.213335037
970000,23.8034567833,54.2341210842,144.103723049,58.1925048828,829.084579945,785.300658941
980000,23.3579800129,60.3154070377,135.398025036,57.402962923,842.41079092,819.32377696
990000,23.7243750095,58.3803019524,143.415395021,57.291162014,837.323431969,808.262737989
1000000,22.2239990234,54.1126298904,136.673120975,62.4804530144,866.954009056,794.016524792
